year,month,day,hour,minute,second,datetime,event_id,latitude,longitude,depth_km,magnitude,err_x_m,err_y_m,err_z_m,err_h_m
2024,9,3,14,15,44.58,2024-09-03 14:15:44.580,150,23.020426,-109.719116,10.518,2.4,186.3,105.7,63.9,214.1965919430092
2024,9,3,14,22,22.0,2024-09-03 14:22:22.000,152,23.021462,-109.737663,11.144,2.0,201.0,108.7,70.6,228.50971532956757
2024,9,3,14,22,52.21,2024-09-03 14:22:52.210,153,23.026365,-109.735327,11.501,2.4,245.4,121.8,68.7,273.96423124196343
2024,9,3,14,23,18.28,2024-09-03 14:23:18.280,154,23.028778,-109.703589,9.753,2.0,139.6,170.2,67.3,220.1276902163833
2024,9,3,14,23,58.02,2024-09-03 14:23:58.020,155,23.014001,-109.724202,10.775,2.2,194.5,118.9,40.5,227.96372518451264
2024,9,3,14,26,8.54,2024-09-03 14:26:08.540,157,23.0316,-109.70616,10.17,2.5,168.5,131.0,104.6,213.432073503492
2024,9,3,14,30,8.47,2024-09-03 14:30:08.470,158,23.017279,-109.739258,11.2,2.1,195.3,99.0,77.2,218.9591057709179
2024,9,3,14,33,46.82,2024-09-03 14:33:46.820,159,23.027376,-109.72369,10.479,2.4,178.7,123.0,58.8,216.93936940998051
2024,9,3,14,37,17.57,2024-09-03 14:37:17.570,160,23.032328,-109.713354,9.975,2.0,148.0,129.3,64.0,196.5260542523561
2024,9,3,14,42,16.21,2024-09-03 14:42:16.210,161,23.026573,-109.707389,9.796,1.4,164.9,123.4,82.1,205.9601174985099
2024,9,3,14,42,36.0,2024-09-03 14:42:36.000,162,23.02938,-109.724544,10.525,1.9,182.4,120.7,60.8,218.7195693119388
2024,9,3,14,45,45.72,2024-09-03 14:45:45.720,163,23.019914,-109.726188,10.696,1.9,191.5,103.1,44.2,217.4899078118339
2024,9,3,14,49,2.98,2024-09-03 14:49:02.980,164,23.018311,-109.72609,10.742,2.4,191.0,102.2,42.3,216.62372907878768
2024,9,3,14,52,53.5,2024-09-03 14:52:53.500,166,23.022188,-109.728239,10.547,1.9,193.5,137.5,67.1,237.37838991786933
2024,9,3,14,57,22.16,2024-09-03 14:57:22.160,167,23.026481,-109.705957,10.4,2.0,157.8,120.3,74.7,198.42613235156304
2024,9,3,15,12,58.86,2024-09-03 15:12:58.860,168,23.017438,-109.727344,11.24,1.8,195.4,103.6,37.0,221.1653679941776
2024,9,3,15,32,46.6,2024-09-03 15:32:46.600,169,23.018443,-109.737386,10.794,1.9,191.4,99.0,72.1,215.4877258685515
2024,9,3,15,34,54.63,2024-09-03 15:34:54.630,170,23.017519,-109.724569,11.149,1.8,194.6,104.2,39.3,220.74147775169033
2024,9,3,15,41,53.09,2024-09-03 15:41:53.090,171,23.018262,-109.730355,10.938,1.9,193.8,100.5,48.2,218.30870344537345
2024,9,3,15,48,57.54,2024-09-03 15:48:57.540,172,23.020797,-109.730404,10.994,1.6,195.5,113.8,55.3,226.2093941462202
2024,9,3,16,1,0.06,2024-09-03 16:01:00.060,173,23.018282,-109.726034,11.143,2.0,193.2,104.1,37.9,219.46081654819383
2024,9,3,16,2,51.07,2024-09-03 16:02:51.070,174,23.017619,-109.726294,11.022,1.8,193.3,102.7,38.0,218.888510433965
2024,9,3,16,9,22.75,2024-09-03 16:09:22.750,175,23.018628,-109.728174,10.898,1.5,190.9,102.5,40.3,216.67731768692357
2024,9,3,16,15,55.84,2024-09-03 16:15:55.840,176,23.019661,-109.729362,11.449,1.8,200.8,111.3,48.3,229.5829479730583
2024,9,3,16,16,33.25,2024-09-03 16:16:33.250,177,23.013578,-109.733464,12.171,2.0,202.9,105.4,64.1,228.64288749051437
2024,9,3,16,28,18.71,2024-09-03 16:28:18.710,178,23.017686,-109.730672,10.828,2.2,192.5,99.8,49.7,216.83240071539123
2024,9,3,16,29,53.96,2024-09-03 16:29:53.960,179,23.017497,-109.723389,11.266,1.6,196.7,110.2,51.1,225.46602848322848
2024,9,3,16,34,48.26,2024-09-03 16:34:48.260,180,23.018132,-109.724178,11.239,1.8,194.7,110.6,45.7,223.92063326098375
2024,9,3,16,35,27.39,2024-09-03 16:35:27.390,181,23.018306,-109.728752,11.019,1.8,192.8,102.2,42.4,218.212465271808
2024,9,3,16,35,37.76,2024-09-03 16:35:37.760,182,23.013395,-109.719482,10.996,1.6,190.8,106.8,50.9,218.65699165588097
2024,9,3,16,45,7.05,2024-09-03 16:45:07.050,183,23.021318,-109.738021,11.245,1.7,199.0,109.3,71.9,227.040723219426
2024,9,3,16,48,31.43,2024-09-03 16:48:31.430,184,23.018681,-109.733504,12.407,1.6,202.8,107.8,58.7,229.67080789686793
2024,9,3,16,49,5.23,2024-09-03 16:49:05.230,185,23.013269,-109.732023,12.489,1.6,205.5,107.7,60.5,232.01193934795683
2024,9,3,16,55,42.64,2024-09-03 16:55:42.640,186,23.014675,-109.725635,10.669,1.6,190.4,102.2,37.4,216.09488656606385
2024,9,3,17,9,12.64,2024-09-03 17:09:12.640,187,23.020819,-109.72924,10.922,1.5,189.3,101.4,45.6,214.74740976319137
2024,9,3,17,19,23.56,2024-09-03 17:19:23.560,188,23.019877,-109.735034,10.849,1.7,191.7,99.4,62.9,215.9380698255868
2024,9,3,17,21,57.16,2024-09-03 17:21:57.160,189,23.025193,-109.742236,11.715,1.5,196.7,101.3,80.2,221.25229942307945
2024,9,3,17,34,53.44,2024-09-03 17:34:53.440,190,23.016473,-109.735384,11.957,2.1,200.5,103.6,67.3,225.6838718207395
2024,9,3,17,36,55.1,2024-09-03 17:36:55.100,191,23.016992,-109.736727,12.046,1.9,201.5,104.4,70.7,226.93966158430743
2024,9,3,17,40,2.0,2024-09-03 17:40:02.000,192,23.024457,-109.741878,11.485,1.7,195.0,101.6,79.9,219.8807858818046
2024,9,3,17,41,45.88,2024-09-03 17:41:45.880,193,23.025102,-109.742033,11.715,1.8,196.5,100.9,79.6,220.89151183329793
2024,9,3,17,47,14.12,2024-09-03 17:47:14.120,194,23.014868,-109.726978,11.067,1.6,198.3,103.2,42.4,223.5467065290831
2024,9,3,17,51,34.96,2024-09-03 17:51:34.960,195,23.011904,-109.721281,10.991,1.9,198.3,111.6,53.3,227.54658863626148
2024,9,3,17,53,35.84,2024-09-03 17:53:35.840,196,23.015967,-109.723787,11.102,1.8,192.9,107.4,43.6,220.78308359111213
2024,9,3,17,57,30.3,2024-09-03 17:57:30.300,197,23.018976,-109.730111,11.177,1.6,195.9,103.1,47.4,221.3739370386677
2024,9,3,18,25,32.24,2024-09-03 18:25:32.240,198,23.019061,-109.72832,10.989,1.7,190.6,101.8,43.0,216.08239169353897
2024,9,3,18,32,3.16,2024-09-03 18:32:03.160,199,23.023861,-109.732178,11.381,1.7,197.0,106.4,53.8,223.89720855785583
2024,9,3,18,32,13.24,2024-09-03 18:32:13.240,200,23.021517,-109.734489,11.137,1.3,192.2,100.7,58.8,216.9823264692311
2024,9,3,18,47,32.56,2024-09-03 18:47:32.560,201,23.01509,-109.726497,10.715,1.7,191.9,101.7,34.8,217.1831024734659
2024,9,3,18,57,7.96,2024-09-03 18:57:07.960,204,23.021771,-109.712183,10.506,1.9,168.5,126.8,66.3,210.88027408935147
2024,9,3,18,58,40.16,2024-09-03 18:58:40.160,205,23.027057,-109.69755,8.855,1.7,161.3,123.7,100.0,203.2716901095674
2024,9,3,19,11,23.56,2024-09-03 19:11:23.560,206,23.015377,-109.722388,11.124,1.9,192.3,105.9,44.9,219.53154670798455
2024,9,3,19,42,14.74,2024-09-03 19:42:14.740,207,23.013304,-109.732821,11.158,2.2,197.5,101.5,62.9,222.0551733241088
2024,9,3,20,24,41.6,2024-09-03 20:24:41.600,208,23.017822,-109.73134,10.88,2.0,193.2,101.3,51.9,218.14657916181037
2024,9,3,20,28,19.32,2024-09-03 20:28:19.320,209,23.022884,-109.727873,10.634,2.4,184.0,128.5,69.5,224.42871919609576
2024,9,3,21,2,44.54,2024-09-03 21:02:44.540,210,23.019769,-109.734082,11.297,2.3,195.5,101.1,60.1,220.09420710232243
2024,9,3,21,9,30.96,2024-09-03 21:09:30.960,211,23.024837,-109.73728,10.946,2.0,189.5,98.2,65.1,213.4326357425218
2024,9,3,22,23,55.32,2024-09-03 22:23:55.320,212,23.018221,-109.737793,11.425,2.1,195.7,101.1,72.3,220.2718774605601
2024,9,3,22,25,40.8,2024-09-03 22:25:40.800,213,23.019607,-109.731608,11.32,2.3,195.9,102.5,51.1,221.09513789317035
2024,9,3,23,18,44.88,2024-09-03 23:18:44.880,214,23.020758,-109.728735,11.12,1.8,193.2,105.4,43.2,220.08043983961863
2024,9,3,23,19,8.46,2024-09-03 23:19:08.460,215,23.019661,-109.730371,10.933,2.1,189.7,100.9,50.5,214.86484123746257
2024,9,3,23,26,45.7,2024-09-03 23:26:45.700,216,23.022036,-109.731234,11.346,2.1,197.5,104.5,48.4,223.4423863102075
2024,9,3,23,29,35.52,2024-09-03 23:29:35.520,217,23.022443,-109.731917,11.198,1.9,192.1,102.6,52.8,217.78239139103968
2024,9,3,23,29,59.24,2024-09-03 23:29:59.240,218,23.022408,-109.730998,11.04,2.3,190.6,105.4,49.4,217.80156105960307
2024,9,3,23,31,15.92,2024-09-03 23:31:15.920,219,23.020374,-109.717822,10.873,1.9,208.0,122.7,69.8,241.49387155785135
2024,9,3,23,31,59.12,2024-09-03 23:31:59.120,220,23.025311,-109.734196,10.684,2.0,188.6,100.2,60.2,213.56497840235883
2024,9,3,23,33,25.04,2024-09-03 23:33:25.040,221,23.025385,-109.737801,10.743,1.7,187.9,97.1,64.0,211.5060755628547
2024,9,3,23,34,2.16,2024-09-03 23:34:02.160,222,23.019216,-109.726392,11.114,1.8,191.6,103.3,32.9,217.6728049160023
2024,9,3,23,35,8.1,2024-09-03 23:35:08.100,223,23.018567,-109.731201,11.143,2.1,198.3,102.0,50.0,222.99526900811148
2024,9,3,23,51,52.46,2024-09-03 23:51:52.460,224,23.018658,-109.757666,10.699,1.9,195.5,101.4,115.0,220.23217294482657
2024,9,4,0,51,1.63,2024-09-04 00:51:01.630,225,23.02196,-109.729712,10.863,2.4,189.0,100.2,44.6,213.91830216229744
2024,9,4,0,57,16.23,2024-09-04 00:57:16.230,226,23.02665,-109.740031,11.173,1.9,189.5,108.2,70.3,218.214321253212
2024,9,4,1,7,53.98,2024-09-04 01:07:53.980,228,23.026457,-109.723291,10.339,1.8,165.9,109.6,50.3,198.83402626311224
2024,9,4,1,35,20.53,2024-09-04 01:35:20.530,229,23.029572,-109.746273,11.874,1.7,197.9,101.8,89.8,222.54808469182564
2024,9,4,1,35,35.42,2024-09-04 01:35:35.420,230,23.027887,-109.747542,11.008,2.1,196.7,121.1,114.5,230.9893936959011
2024,9,4,1,41,2.66,2024-09-04 01:41:02.660,231,23.01721,-109.742261,12.371,1.8,208.5,104.8,84.6,233.35657265223963
2024,9,4,1,52,11.76,2024-09-04 01:52:11.760,232,23.015417,-109.734733,12.029,1.7,201.5,104.8,66.2,227.1239529420004
2024,9,4,2,1,18.36,2024-09-04 02:01:18.360,233,23.020634,-109.738949,12.355,2.4,203.6,104.9,73.9,229.03486634134987
2024,9,4,2,12,49.29,2024-09-04 02:12:49.290,234,23.020376,-109.730127,11.134,1.8,198.0,115.3,49.2,229.1246167481792
2024,9,4,2,13,20.12,2024-09-04 02:13:20.120,235,23.025877,-109.72675,9.79,2.0,184.6,99.1,80.5,209.51842401087308
